Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen
Logikos Trainingen,www.logikos.nl,Apeldoorn,Bouwmeestershoeve 49,7326 RM,2020-12-08,,,
Loo van Eck,https://lve.nl/,EDE,Pascalstraat 28,6716 AZ,2019-10-03,,,
Loof training en advies,www.looftrainingen.nl,BERGEN NH,Eeuwigelaan 3,1861 CL,2013-01-28,,,
LSBL,www.lsbl.nl,EDE,Galvanistraat 1,6716 AE,2001-02-01,,,
LSR BV,www.1e-verdieping.nl,Zoetermeer,Dorpsstraat 7,2712 AB,2022-05-25,,,
LTC/ Language Training Centre,www.ltc.nl,Nijmegen,Prins Hendrikstraat 2,6521 AW,2009-06-01,,,
LTD TF B.V. ,www.lepaya.nl,Amsterdam,Stephensonstraat 19,1097 BA,2020-12-14,,,
Luzac Onderwijs B.V.,www.luzac.nl,HILVERSUM,Marathon 7,1213 PD,2001-02-01,,,
M2 academy B.V.,www.m2academy.nl,Voorburg,Prins Bernhardlaan 1,2274 HT,2025-02-21,,,
Maas College,www.maascollege.nl,ROTTERDAM,Oostplein 410-428,3061 CH,2019-12-13,,,
Maatschap Stap Brabant ,www.stapbrabant.nl,Gemonde ,Loopstraat 2,5293 NA ,2022-08-31,,,
Markus Verbeek Praehep B.V.,www.mvp.nl,HILVERSUM,Marathon 5,1213 PD,1995-04-24,,,
Marlijn Academie,www.marlijnacacdemie.nl ,LANGEWEG,De Langeweg 22,4771 RB,2018-02-19,,,
Martijn de Loor - Organisatiecoaching | Gevoel voor de Zaak Opleidingen,www.gevoelvoordezaak.nl,DRIEBERGEN,Akkerweg 64,3972 AC,2019-12-13,,,
Master Coaching International,www.mastercoaching.nl,Den Bosch,Australielaan 8A,5232 BB,2022-02-21,,,
Master The Mix Academy,www.masterthemix.com,Hilversum,Eemnesserweg 2,121 CT,2021-11-22,,,
Match-it,www.match-it.info,Markelo,Plasdijk 2B,7475 TD,2021-01-01,,,
Maxxecure,www.maxxecure.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR  ,2016-08-01,,,
Maxxecure Academy,www.maxxecure.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR,2016-08-01,,,
MBO4Nederland,www.mbo4nederland.nl,HILLEGOM,Kwekerij 6,2182 AG,2016-01-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
MedischInstituut (handelsnaam Instituut Memo),medischinstituut.nl,Zoetermeer ,Storkstraat 6,2722 NN,2016-09-02,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Medivus,www.medivus.nl,Rijswijk,Laan van Zuidhoorn 60,2289 DE,2023-04-28,,,
Melearning Onderwijs B.V. ,https://melearning.nl/,AMSTERDAM,Lauriergracht 116-S,1016 RR,2020-07-23,,,
Merlijn B.V.,www.merlijngroep.nl,'s-Hertogenbosch,Veemarktkade 8 ruimte 1019,5222 AE,2026-05-11,,,
Mikrocentrum ,www.mikrocentrum.nl,VELDHOVEN,De Run 1115,5503 LB,2015-08-21,,,
Mind Academy B.V.,https://www.mindacademy.nl,Heiloo,Laan Eindeloos 13,1851 ZM,2021-11-08,,,
Miraconsult (handelsnaam Academie voor Leven),www.academievoorleven.com,Amsterdam,Olphert Vaillantlaan 34,1086 ZA,2022-03-22,,,
ML Opleidingen,www.ml-opleidingen.nl,Naaldwijk,Buys Ballotstraat 3 BU2,2693 BD,2026-03-09,,,
Modevakschool Nancy van Vliet,www.nancyvanvliet.nl,Alkmaar,Arkplein 25,1826 DM,2022-04-04,,,
Molijn Training,www.molijntraining.nl,Utrecht,Daltonlaan 100,3584 BJ,2014-06-27,,,
MOOD opleidingen B.V.,https://www.moodmassage.nl,Amersfoort,Oude Fabriekstraat 7,3812 NR,2022-05-17,,,
Mooivakonderwijs B.V.,www.mooivakonderwijs.nl,Helmond,Inclusieveld 1,5707 DP,2022-06-22,,,
Moovs,www.moovs.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR,2016-08-01,,,
Moovs Academy,www.moovs.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR,2016-08-01,,,
Moovs Savant Learning Partners ,www.savantlearningpartners.nl,Amsterdam,Tweede Jan Steenstraat 84H,1074 CR,2022-10-07,,,
Motivation beveiligingsopleidingen en adviezen,www.motivationbeveiliging.nl,Dordrecht,M.H. Trompweg 229,3317 BS,2024-06-20,,,
Move The Crowd BV,www.movethecrowd.nl,Rotterdam,Olympiaweg 4-14,3077 AL,2021-04-20,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
MP Beauty Group BV (M P Brows ),www.mp-brows.nl,Arnhem,Rijnkade 36,6811HA,2022-04-04,,,
Mudita Academie,www.mudita-academie.nl,WINTERSWIJK-WOOLD,Schoolweg 7,7108 BM,2015-11-06,,,
MYOS Opleidingen,http://myosopleidingen.nl,Utrecht ,Otto Hahnweg 56,3542 AX,2022-03-22,,,
Nationaal Centrum Erfgoedopleidingen,www.erfgoedopleidingen.nl,AMERSFOORT,Klooster Ter Eem - Daam Fockemalaan 22,3818 KG,2019-01-01,,,
Nationale Beroepsopleiding Zwemonderwijs BV (NBZ),www.nbz.nl,Oirschot,De Scheper 312,5688 HP,2021-02-18,Bouw; ICT; Onderwijs; Techniek; Zorg,,
NCOI Online Academy B.V.,www.ncoi.nl,Hilversum,Marathon 7,1213 PD,2020-09-30,,,
NCOI Opleidingen,www.ncoi.nl,Hilversum,Marathon 7,1213 PD,2025-11-26,,,
Nederlands Compliance Instituut B.V.,https://compliance-instituut.nl,Rotterdam,Burgemeester Hazenberglaan 401,3078 HG,2023-03-30,,,
Nederlands de Baas b.v.,https://nederlandsdebaas.nl/,Nijmegen,Couwenbergstraat 143,6535 RX,2022-04-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Nederlands Debat Instituut,www.debatinstituut.nl,HILVERSUM,Frans Halslaan 57,1213 BK,2017-11-09,,,
Nederlandse Academie voor Beeldcreatie (NAVB),www.navb.nl,APELDOORN,Spoorstraat 27,7311 PE,2013-03-29,,,
Nederlandse Kappersakademie,www.kappersakademie.nl,ROTTERDAM,Mariniersweg 149,3011 NK,1995-04-24,,,
NedLes,www.nedles.nl,AMSTERDAM,Derde Oosterparkstraat 271,1092 EA,2018-11-02,,,
New Dawn Academy B.V. ,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
New Dawn coaching B.V. ,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
New Heroes BV,www.newheroes.nl,Zaltbommel,Van Heemstraweg West 5,5301PA,2020-09-30,,,
NHA,www.nha.nl,PANNINGEN,Industrieterrein 37,5981 NK,1995-04-24,,,
NIA Academie B.V.,https://nia-academie.nl/,Amsterdam,Memeleiland 45,1014 ZL,2022-04-18,,,
NIBE-SVV Opleidingen B.V.,www.nibesvv.nl,HILVERSUM,Marathon 7,1213 PD,2011-02-03,,,
NIOW De Taal- en Functiegerichte trainingen ,www.niow.nl,ZEIST,De Dreef 21, ,2021-09-20,,,
NIOW De Taal- en tekstexperts,www.niow.nl,ZEIST,De Dreef 21,3706 BR,2016-04-01,,,
NIPA Opleidingen,www.nipaopleidingen.nl,ASTEN,Ommelseweg 48,5721 WV,2016-01-04,,,
NIVE Opleidingen,https://niveopleidingen.nl/,DE BILT,Dorpstraat vo Steenstraat 74,3732 HK,2021-02-03,,,
NIVE Opleidingen ll B.V.,www.niveopleidingen.nl,Groningen,Radesingel 50,9711 EK,2022-01-31,,,
NIVI BHV,www.nivi.nl,APPINGEDAM,Energieweg 6,9902 RL,2013-03-27,,,
NL Mode Academie,www.nlmodeacademie.nl,Amstelveen,Laan Nieuwer-Amstel 3,1182 JR,2024-10-14,,,
NLtraining,www.nltraining.nl,AMSTERDAM,Tt. Vasumweg 122,1033 SH,2019-02-06,,,
Nobbe Mieras trainingen B.V. ,www.nobbemieras.nl,Arnhem,De la Reijstraat 2,6814 AE,2019-02-25,,,
Noorda en Co,www.noordaenco.nl,AMSTERDAM,Cannenburg 36,1081 HA,2011-01-04,,,
Normec Foodcare Training & Education B.V,www.normecfoodcare.com,,Balkweg 3,5232 BT,2021-12-05,,,
NTI B.V.,www.nti.nl,LEIDEN,Schuttersveld 6,2316 ZB,1998-02-01,,,
NTI NLP B.V. ,www.ntinlp.nl,Limmen,Oosterzijdeweg 8,1906 AX,2022-02-21,,,
Nuvrachtwagen,www.nuvrachtwagen.nl,RIJSWIJK,"Verrijn Stuartlaan, 22",2288EL,2022-03-28,,,
OBA Opleidingen Bemiddeling Advies B.V.,www.obabv.com,Rotterdam,Van Helmontstraat 5,3029 AA ,2022-03-14,,,
Obeya Coaching & Training,www.obeyacoaching.nl,Almere ,Transistorstraat 91,1322CL,2022-09-26,,,
oCaro (holding),www.ocaro.nl,Loenen,Hoofdweg 74,7371 AK,2020-08-10,,,
oCaro BV,https://ocaro.nl/,Loenen,Hoofdweg 74,7371 AK,2024-07-02,,,
oCaro college bv,www.ocaro.nl,Loenen,Hoofdweg 74,7371 AK,2020-09-30,,,
OCD Opleidingen,https://www.ocdopleidingen.nl/,DEVENTER,Keizerstraat 39,7411 HE,2020-04-30,,,
OCICT,www.ocict.nl,Apeldoorn,Jean Monnetpark 43,7336 BB,2020-10-13,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Odyssee,www.odyssee-groep.nl,DOORN,Amersfoortseweg 98,3941 EP,2013-01-01,,,
Onderwijsinstelling STOC,www.stoc.nl/,DEN HAAG,Loire 150,2491 AK,2012-12-05,,,
OntwerpAcademie,www.ontwerpacademie.nl,HAZERSWOUDE-DORP,Belgiëlaan 1A5,2391 PH,2017-02-28,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
OPATEL Opleidingen,www.opatel.nl,ROTTERDAM,Piekstraat 23,3071 EL,2016-06-24,,,
Open Studio,www.openstudio.nl,Amsterdam,Keienbergweg 109 B,1101 GG,2010-11-20,,,
Open2Contact,www.open2contact.nl,SOEST,Zuidergracht 21-Unit 31,3763 LS,2018-07-09,,,
Opleidingen 2000 VOF,https://opleidingen2000.nl,Geertruidenberg,Markt 17,4931BR,2022-03-22,,,
Opleidingscentrum Orca,www.oc-orca.nl,Best,De Waal 9,5684 PL,2010-06-03,,,
Opleidingsinstituut Beeckestijn Business School,www.beeckestijn.org ,Leusden ,Leusderend 30,3832 RC ,2020-09-01,,,
Opleidingsinstituut KMBV (Health & Welfare B.V.),www.kmbv.nl,Deventer,Zutphenseweg 55,7418 AH,2022-03-11,,,
Opleidingsinstituut O.P.B.,www.opb.cc,SITTARD,Engelenkampstraat 86,6131 JJ,1997-01-01,,,
Opleidingsinstituut Thomas,www.instituut-thomas.nl,S-HERTOGENBOSCH,Verwersstraat 51,5211 HT,1995-04-24,,,
Opleidingsinstituut voor Integrale Coaching Jolanda Vleugel B.V.,www.jolandavleugel.nl ,Groesbeek,Kerkstraat 7,6561 CC,2022-05-17,,,
OptiSec Cyber Security Trainingen B.V.,www.optisec.nl,Woerden,Pelmolenlaan 16,3447 GW,2026-03-06,,,
OranjeStarters B.V. ,www.ambachtshuis-brabant.nl,Eindhoven ,Rijsven 8,5645 KH,2022-06-22,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
ORGB,www.orgb.nl,Wessem,Van Horneplein 6,6019 BW,2015-03-04,,,
Orlemans & Orlemans,www.orlemans.nl,NIJMEGEN,St. Annastraat 291,6525 GT,2013-01-01,,,
OSR juridische opleidingen ,www.osr.nl,Utrecht ,Arthur van Schendelstraat 650,3511 MJ ,2021-06-10,,,
OSR OpMaat,www.osr.nl,Utrecht ,Arthur van Schendelstraat 650,3511MJ,2021-10-05,,,
OVD Beroepsopleidingen,www.ovd-opleidingen.nl,EDE,Galileilaan 31,6716 BP,2017-05-03,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
OVD Opleidingen,www.ovd-opleidingen.nl,EDE,Galileilaan 31,6716 BP,2017-05-03,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Overdenkwerk,http://www.overdenkwerk.nl/,EMMELOORD,Eemsstraat 14,8303LH,2020-01-31,,,
Ovidius Werk,www.ovidiuswerk.nl,Zeist,Van Renesselaan 25,3703 AE,2022-10-24,,,
PAIR,www.pair-taal.nl,Utrecht ,Europalaan 2,3526 KS,2022-10-20,,,
Passionned Nederland BV,www.passopnned.nl/academy,Amersfoort ,Utrechtseweg 225,3818 EG ,2022-11-23,,,
Pastoor BV,,Nijmegen,Kerkenbos 1103-D,6546 BC,2021-09-23,,,
Patagonia Opleidingen,https://www.patagonia-opleidingen.com/,Hendrik-Ido-Ambacht,Langesteijn 110,3342 LG  ,2020-02-25,,,
Pebblz,www.pebblz.nl,DORDRECHT,Calandstraat 24 B,3316 EA,2018-08-24,,,
Peinemann Training Center B.V.,https://www.peinemann.nl/training-center/,ROTTERDAM,Breevaartstraat 12,3044 AH,2017-09-27,,,
PEKK,www.pekk.nl,TILBURG,Meerssenstraat 1c,5045 WD,2019-03-20,,,
PHOV B.V.,www.phov.nl,Utrecht ,Weerdsingel WZ 32,3513 BC,2022-03-08,,,
Picabia Opleidingen,www.picabia.nl,HENGELO,Deldenerstraat 42,7551AG,2012-08-02,,,
Plata Opleidingen,www.platafoundation.nl,Leiden,Oude Vest 9,2312 XP,2019-10-03,,,
PlusPort ,www.plusport.com,ZOETERMEER,Louis Braillelaan 80,2719 EK,2016-04-26,,,
Ponsioen Opleiding en Advies BV,www.ponsioen.biz,Helmond ,Lagedijk 6,5705 BZ ,2022-11-23,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Practice Solutions,www.dto-breda.nl,Breda,Minervum 7154,4817 ZN,2023-04-28,,,
Praktijk de Regenboog,www.opleidingholistischkindertherapeut.nl,Pijnacker,Julianalaan 5,2641 HA,2022-04-18,,,
Praktijkcampus B.V. (vh Leerbouwen),www.praktijkcampus.nl,Groningen,Euvelgunnerweg 25a,9723 CV,2022-03-28,,,
Pro Audio Education NL B.V.,https://www.proaudioeducation.nl,Amstelveen,Uilenstede 354,1183 DB,2023-05-09,,,
Pro Education B.V.,www.proeducation.nl,AMSTERDAM,Hoogoorddreef 5,1101 DG,2008-06-12,,,
Prosper College B.V.,https://prospercollege.nl,Amsterdam,Geldershoofd 80,1103 BG,2025-01-08,,,
Précon Consulting Group,www.precongroup.com,BUNNIK,Regulierenring 16a,3981 LB,2014-10-21,,,
Précon Learning,www.precongroup.nl/training-en-e-learning,BUNNIK,Regulierenring 16,3981 LB,2014-10-21,,,
Psy-zo! Onderwijs,www.psy-onderwijs.nl,Groningen,Zernikepark 12,9747 AN,2022-05-03,,,
Purple Monkey Breinonderwijs,www.purplemonkey.nl,Vleuten,Nieuwe Vaart 1c,3451 AH,2024-06-18,,,
Quality Communication Taaltrainingen B.V.,www.qualitycommunication.nl,Voorthuizen,Tromplaan 10,3781 TE,2022-01-23,,,
Quercus Energy Technicians BV ,https://www.qet.nl ,Ermelo ,Harderwijkerweg 141,3852 AB,2023-01-30,,,
RBO/EVC-dienstencentrum,www.rbo.nl,GRONINGEN,Rozenburglaan 3,9727 DL,2019-04-10,,,
Real Estate Business School (REBS),www.rebs.nl,HILVERSUM,Larenseweg 32 A3, 1221 CN,2017-05-15,,,
Realise Academy B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
Realise B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
REASeuro,www.reaseuro.com,Riel,Vijfhuizenbaan 1b,5133 NH,2019-07-01,,,
RecruitmentTraining.Pro ,https://recruitmenttraining.pro,Amsterdam,Cruquiusweg 89C,1019 AG,2022-05-01,,,
RedFoxBlue B.V.,www.redfoxblue.nl,Haarlem,Wagenweg 204,2012 NM ,2022-02-11,,,
Reframe InTensis B.V.,www.reframe.nl,TILBURG,Jules Verneweg 121,5015 BK,2018-04-11,,,
Regina Coeli Language Courses B.V.,www.reginacoeli.nl,Vught,Martinilaan 12,5262 BR,2009-05-19,,,
Relevance Learning B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
Relevance Leren B.V. ,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
Response Instituut B.V.,https://response-instituut.nl/ ,Venlo,Venrayseweg 32,5928NZ,2021-11-29,,,
Rijschool Academie,https://www.rijschoolacademie.nl,Rotterdam,Putselaan 40,3074JB,2022-03-22,,,
Rjansen Vastgoedbeheer BV,www.dirksen.nl,Elst,Vivaldistraat 21,6661 BW,2024-12-12,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
RMMBR bv,www.rmmbr.com,AMSTERDAM,Hoogoorddreef 56a,1100 BE,2016-05-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,,
Robin Stevens Training,www.robin-stevens.nl,Putten,Kerkplein 35,3881 DH,2023-03-27,,,
ROVC Technische Opleidingen B.V.,www.rovc.nl,EDE,Galvanistraat 13,6716 AE,2018-01-01,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Sagènn Groep BV,www.sagenn.nl,Rotterdam,Stieltjesstraat 20,3071 JX,2024-12-18,,,
Sagénn Educatie BV,www.sagenn.nl,Rotterdam,Stieltjesstraat 20,3071 JX,2024-12-18,,,
Sagénn Re-integratie BV,www.sagenn.nl,Rotterdam,Stieltjesstraat 20,3071 JX,2024-12-18,,,
Salta Group B.V. ,www.ncoi.nl,HILVERSUM,Marathon 7,1213 PD,2011-07-11,,,
Sayna College (Sayna Skin and Beauty Academie),https://saynacollege.com,Zwijndrecht,Daltonstraat 12,3335 LR,2025-04-15,,,
SBI Formaat,www.sbi.nl,DOORN,Amersfoortseweg 98,3941 EP,2013-01-01,,,
SBK Opleidingen,www.SBKadvies.nl,ZWOLLE,Obrechtstraat 28,8031 AZ,2012-05-22,,,
Scaves,www.scaves.nl,SCHOONEBEEK,Wendakker 5,7761 PX,2013-04-23,,,
Schoevers Opleidingen B.V.,www.schoevers.nl,HILVERSUM,Marathon 7,1213 PD,1995-04-24,,,
School of Datascience,www.schoolofdatascience.nl,Den Haag,Lulofsstraat 55 Unit 41,2521 AL,2022-03-08,,,
School voor Communicatie ,www.intoacademy.nl,Bunschoten ,De Kronkels 5A,3752 LM,2022-05-25,,,
Schoonderwoerd Academy B.V.,https://schoonderwoerd.nl/,Utrecht,Park Oog in Al 1,3533 HE,2024-08-22,,,
Schouten & Nelissen Academy B.V.,www.sn.nl,ZALTBOMMEL,Van Heemstraweg West 5,5301 PA,2013-01-01,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Schouten & Nelissen B.V.,www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
Schouten Company B.V. (holding),www.sn.nl,Zaltbommel,Van Heemstraweg-West 5,5301PA,2023-02-20,,,
Scobe Academy,www.scobe.nl,Gouda ,Buchnerweg 7,2803 GR ,2023-01-02,,,
SDO Hogeschool voor Moderne Bedrijfskunde,www.sdo-hogeschool.nl   ,Rotterdam,Innsbruckweg 180-G,3047 AH,2011-08-01,,,
Security Academy Opleidingen BV ,https://www.securityacademy.nl ,Woerden ,De Bleek 11,3447 Gv,2022-08-16,,,
Security Academy Trainingen BV ,https://www.securityacademy.nl ,Woerden,De Bleek 11 ,3447 GV,2022-08-16,,,
Selfline,https://www.selfline.nl/,Den Haag,Aagje Dekenlaan 51,2533 SG,2022-04-18,,,
Shake Academy (vh Mark Bongers Academy),www.markbongers.nl,Uden,Loopkantstraat 11,5405 NB,2022-03-22,,,
SILK PMU,https://silkpmu.nl,Huissen,Langestraat 31,6831 AL,2025-07-17,,,
Siss Trainingen B.V. ,www.sisstrainingen.nl,Reeuwijk,Korssendijk 17,2811 HK,2022-04-04,,,
SkillsTown,https://www.skillstown.com/,EINDHOVEN,Bogert 31-14,5612 LX,2018-08-16,,,
SkillValley,https:// www.skillvalley.nl,Elsloo,Business Park Stein 108,6181 MA,2025-03-13,,,
Slouwerhof Academy,www.slouwerhof.nl,AKKRUM,De Parse 2,8491 PJ,2022-05-31,,,
soba,,,,,2026-01-07,,,
SOBA Security Opleidingen B.V.,https://www.soba.nl/,,,,2026-06-18,,,
Sociaal Opleidingsinstituut,https://so-i.nl,Amsterdam,Bastenakenstraat 111,1066JB,2023-05-17,,,
SocialLane Academy B.V.,https://dutchmarketingacademy.nl/,DEN HAAG,Hellingweg 98 L,2583 WH,2020-07-21,,,
SOMT University of Physiotherapy,www.somt.nl,AMERSFOORT,Softwareweg 5,3821 BN,2014-12-17,,,
Sonnevelt Opleidingen B.V.,www.sonneveltopleidingen.nl,Hedel,Architronlaan 2-60A,5321JJ,2014-12-10,,,
Soofos,https://soofos.nl,Hattem,Hommelbrink 6,8051 PV,2021-11-29,,,
Sound Education,www.soundeducation.nl,Utrecht ,CAB-rondom 100,3534 BE ,2022-10-25,,,
Speechen.nl,www.speechen.nl,Amsterdam,Schakelstraat 2,1014 AW,2022-10-25,,,
SpiralTrain ,www.spiraltrain.nl,Houten,"Standerdmolen 10, 2e verdieping",3995 AA,2021-08-05,,,
SRM Communicatie B.V.,www.srm.nl,HILVERSUM,Marathon 7,1213 PD,2019-07-24,,,
Start2Move ,www.start2move.nl,Arnhem,Papendallaan 7,6816 VD,2022-01-03,,,
Startel,www.startel.nl,Drachten,Kraaiheide 17,9202 PC,2021-01-21,,,
Stavoor,www.stavoor.nl,Helvoirt,Guldenberg 12,5268 KR,2013-01-01,,,
STC Next,https://stcnext.com,Rotterdam,Waalhaven Z.z. 16,3088 HH,2022-01-03,,,
STE Languages,www.ste.nl,EINDHOVEN,Aalsterweg 3,5615 CA,2009-06-01,,,
Stg. SOMA Bedrijfsopleidingen,www.somabedrijfsopleidingen.nl,Harderwijk,Ceintuurbaan 2,3847 LG ,2020-12-03,,,
Stichting Actuarieel Instituut,www.actuarieelinstituut.nl,UTRECHT,Groenewoudsedijk 80,3528 BK,2018-05-02,,,
Stichting BOB-KOB,https://kob.nl,Zoetermeer,Zilverstraat 69,2718 RP,2024-10-30,,,
Stichting Boswijk instituut ,www.boswijkinstituut.nl,Doorn,Beukenrodelaan 2L,3941 ZP,2021-11-22,,,
Stichting Breederode Hogeschool,www.breederode.nl,ROTTERDAM,Posthumalaan 120 ,3072 AG ,2016-04-01,,,
Stichting Calidus (vh ZW Opleidingen),www.calidus.nl,Hoorn,Dampten 28,1624 NR,2020-10-01,,,
Stichting Centre for Safety and Development (handelsnaam CSD),https://www.centreforsafety.org ,Amersfoort,Laan 1914 nr. 41,3818 EX,2025-02-21,,,
Stichting Codam,www.codam.nl,Amsterdam,Kattenburgerstraat 5 (gebouw 039),1018JA,2021-01-27,,,
Stichting Continuiteit Schrijversvakschool,www.schrijversvakschool.nl,Amsterdam,Herengracht 613,1017 CE,2022-02-21,,,
Stichting De Nederlandse School voor Onderwijsmanagement,https://www.nso-cna.nl,Diemen,Diemermere 15,1112 TB,2025-04-15,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Stichting eX:plain,www.explain.nl,Amersfoort ,Disketteweg 6,3821 AR,2022-08-31,,,
Stichting Examens Uitzendbranche (SEU),www.seu.nl,AMERSFOORT,Disketteweg 6,3821 AR,2017-02-17,,,
Stichting Go,www.opleidingscentrum-go.nl, Ede,Zandlaan 29,6717 LN,2020-11-01,,,
Stichting Hoger Technisch Instituut (HTI) Amsterdam,www.hti-opleidingen.nl,Wijk bij Duurstede,Zandweg 50,3962 ED,2014-07-15,,,
Stichting HVNA,www.hvna-opleidingen.nl,Huissen,Julianastraat 17,6851 KJ,2022-07-12,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Stichting ICT Tribe Almere,https://icttribe.nl,Almere,Straat van Florida 1,1334 PA ,2026-02-20,,,
Stichting Jeugdinterventies ,www.stichtingjeugdinterventies.nl,Den Haag,President Kennedylaan 19,2517 JK,2022-07-20,,,
Stichting Klassieke Academie ,www.klassiekeacademie.nl,Groningen,Akerkhof 43 c,9712BC,2022-04-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Stichting Leer Unique ,www.leerunique.nl,Rotterdam,Griendwerkerstraat 52,3068 GZ,2023-02-01,,,
Stichting Medische Opleidingen Nederland,www.medischeopleidingen.nl,Rotterdam,Berglustlaan 44,3054 BJ,2022-03-14,,,
Stichting miMakkus,www.mimakkus.nl,EINDHOVEN,Iepenlaan 40,5616 NS,2015-01-01,,,
Stichting NewCare College,www.newcarecollege.nl,Den Haag,Oder 20,2491 DC ,2025-01-01,,,
Stichting Railcenter,www.railcenter.nl,Amersfoort,Soesterweg 244,3812 BH,2026-04-16,,,
Stichting Reklame Rakkers,www.mediaenmaatschappij.nl,Amsterdam,Wildenborch 31,1082 KB,2022-04-14,,,
Stichting Sioo,www.sioo.nl,Utrecht,Stadsplateau 12,3521 AZ,2021-04-14,,,
Stichting TCI Toetscentrum Intereducatief,www.tci-examens.nl,SCHOONREWOERD,Dorpsstraat 47,4145 KB,2005-05-01,,,
Stichting Vakopleiding Techniek,www.vakopleidingtechniek.nl,CUIJK,Het Riet 7,5431 NL,2012-02-20,,,
Stichting Vakopleidingen Metaal West-Brabant ,https://www.vakopleidingmetaal.nl/ ,Oudenbosch,Bosschendijk 219,4731 DD,2024-07-16,,,
"Stichting VAM, Opleidingsinstituut voor het Motorvoertuig-, Tweewieler- en Aanverwant Bedr",www.innovam.nl,NIEUWEGEIN,Structuurbaan 2,3439 MB,2022-03-14,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Stichting Volandis,www.volandis.nl,HARDERWIJK,Ceintuurbaan 2-100a,3847 LG ,2019-02-06,,,
Stichting Wateropleidingen,www.wateropleidingen.nl,Nieuwegein,Groningenhaven 7,3430 BK,2022-03-11,,,
Stichting Wijnacademie,www.wijnacademie.nl,Soesterberg,Amersfoortsestraat 18,3769 AR ,2022-06-13,,,
STODT,www.stodt.nl,HENGELO,Gieterij 212,7553 VZ,2010-04-29,,,
Studdy BV,studdy.nl,BREDA,Liesboslaan 57,4813 EB,2020-07-21,,,
Subconscious Impact BV,https://www.subconsciousimpact.com,Baarn,Cantonlaan 6,3742CH,2022-05-03,,,
SVOZ opleidingen in de zorg,www.svoz.nl,UTRECHT,Kaap Hoorndreef 44,3563 AV,1999-03-01,,,
SVS,www.svs-opleidingen.nl,CAPELLE AAN DEN IJSSEL,Rhijnspoor 267,2901 LB,2014-03-19,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,
Synergos ,www.synergos.nl,Amersfoort,Regentesselaan 21,3818HH,2021-11-08,,,
TA academie,www.ta-academie.nl,Zeist,Arnhemse Bovenweg 140,3708 AH,2022-03-22,,,
Taalcentrum-VU,www.taalcentrum-vu.nl,AMSTERDAM,De Boelelaan 1177,,2009-06-01,,,
