Naam,Website,Plaats,Adres,Postcode,Lid sinds,Sectoren,Regios,Marktgroepen,status,score,pos,neg,signalen
Centrum voor Effectieve Intuïtie,www.effectieveintuitie.nl,HAARLEM,van 't Hofftraat 120,2014 RK,2018-08-24,,,,ok,1,1,0,+crkbo
CIVA B.V.,www.civabv.nl,Brunssum,Rumpenerstraat 9,6443 CA,2022-03-11,,,,ok,1,4,3,+crkbo +toetsing -eendaagse|1-?daagse|tweeda
Education360 B.V.,lindenhaeghe.nl,BILTHOVEN,Rembrandtlaan 1B,3723 BG,2018-05-02,,,,ok,1,7,6,+casus(?:opdracht|uitwerkin +studiebelasting +diploma -zonder examen
Elsden training,www.elsden.nl,Almere,"Camerastraat, 23 ",1322BB,2020-12-02,,,,ok,1,1,0,+crkbo
Estasi Trainingen,www.estasi.nl,ERMELO,De Driesten 20,3851 DV,2014-12-04,,,,ok,1,1,0,+crkbo
Esthetica  Bedrijfsopleidingen BV,www.esthetica.nl,BREDA,Hambroeklaan 1,4822 ZZ,2021-05-04,,,,ok,1,1,0,+crkbo
Esthetica Opleidingen,www.esthetica.nl,Breda,Hambroeklaan 1, 4822 ZZ,2022-01-14,,,,ok,1,1,0,+crkbo
ExplainiT Special Accounts BV,www.explainit.nl,Hengelo,John Maynard Keynesstraat 351,7559 SV,2023-07-20,,,,ok,1,2,1,+diploma -incompany training(?!s?pro
FBTA,www.fbta.nl,NUNSPEET,Brinkersweg 18,8071 GT,2015-06-03,,,,ok,1,1,0,+crkbo
Frankwatching,https://www.frankwatching.com,Utrecht,Atoomweg 1,3542AA,2021-03-26,,,,ok,1,2,1,+beoordeling -incompany training(?!s?pro
Gelders Opleidingsinstituut,www.geldersopleidingsinstituut.nl,ARNHEM,Willem Pijperstraat 21,6815 AV,2005-03-14,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,1,1,0,+crkbo
GetCertified Opleidingen,www.getcertified.nl,ARNHEM,Velperweg 160,6824 MD,2018-01-01,,,,ok,1,2,1,+diploma -incompany training(?!s?pro
Global TC Group,https://globaltcgroup.nl,Zaandijk,Lagedijk 60,1544 BH,2025-09-04,,,,ok,1,1,0,+crkbo
HBO Academy,www.hbo-academy.nl,Hilversum,Arena 301 - kamer nr E114,1213 NW,2012-07-27,,,,ok,1,4,3,+portfolio +diploma -eendaagse|1-?daagse|tweeda
Holland Opleidingen BV,https://www.hollandopleidingengroep.nl ,Steenwijk ,De Vesting 11,8332 GL,2023-01-30,,,,ok,1,1,0,+crkbo
IMK Opleidingen,www.imkopleidingen.nl,ALPHEN AAN DEN RIJN,Henry Dunantweg 28,2402 NR,2017-10-17,,,,ok,1,2,1,+beoordeling -incompany training(?!s?pro
Information Security Academy,www.securityacademy.nl,Woerden,De Bleek 11,3447 GV,2022-03-28,,,,ok,1,2,1,+portfolio -incompany training(?!s?pro
ITIP school voor leven en werk,www.itip.nl,ZUTPHEN,Marspoortstraat 16,7201 JC,2020-02-14,,,,ok,1,1,0,+crkbo
KPE Groep,www.kpe.nl,MAASTRICHT,Bassin 120,6211 AK,2015-03-04,,,,ok,1,6,5,+studiepunten +studiebelasting +meerdaagse leergang|leerga -certificaat van deelname|b
Lindenhaeghe B.V.,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1b,3723 BG,2024-01-01,,,,ok,1,7,6,+casus(?:opdracht|uitwerkin +studiebelasting +diploma -zonder examen
Lindenhaeghe Examens bv,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1B,3723 BG,2021-08-26,,,,ok,1,7,6,+casus(?:opdracht|uitwerkin +studiebelasting +diploma -zonder examen
Lindenhaeghe International B.V.,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1b,3723 BG,2025-01-01,,,,ok,1,7,6,+casus(?:opdracht|uitwerkin +studiebelasting +diploma -zonder examen
Lindenhaeghe Opleidingen bv,www.lindenhaeghe.nl,Bilthoven,Rembrandtlaan 1B,3723 BG,2021-08-26,,,,ok,1,7,6,+casus(?:opdracht|uitwerkin +studiebelasting +diploma -zonder examen
M2 academy B.V.,www.m2academy.nl,Voorburg,Prins Bernhardlaan 1,2274 HT,2025-02-21,,,,ok,1,4,3,+beoordeling +diploma -eendaagse|1-?daagse|tweeda
RecruitmentTraining.Pro ,https://recruitmenttraining.pro,Amsterdam,Cruquiusweg 89C,1019 AG,2022-05-01,,,,ok,1,2,1,+beoordeling -incompany training(?!s?pro
Reframe InTensis B.V.,www.reframe.nl,TILBURG,Jules Verneweg 121,5015 BK,2018-04-11,,,,ok,1,1,0,+crkbo
School of Datascience,www.schoolofdatascience.nl,Den Haag,Lulofsstraat 55 Unit 41,2521 AL,2022-03-08,,,,ok,1,2,1,+beoordeling -incompany training(?!s?pro
Security Academy Opleidingen BV ,https://www.securityacademy.nl ,Woerden ,De Bleek 11,3447 Gv,2022-08-16,,,,ok,1,2,1,+portfolio -incompany training(?!s?pro
Security Academy Trainingen BV ,https://www.securityacademy.nl ,Woerden,De Bleek 11 ,3447 GV,2022-08-16,,,,ok,1,2,1,+portfolio -incompany training(?!s?pro
Selfline,https://www.selfline.nl/,Den Haag,Aagje Dekenlaan 51,2533 SG,2022-04-18,,,,ok,1,1,0,+crkbo
Stichting Centre for Safety and Development (handelsnaam CSD),https://www.centreforsafety.org ,Amersfoort,Laan 1914 nr. 41,3818 EX,2025-02-21,,,,ok,1,1,0,+crkbo
Stichting Jeugdinterventies ,www.stichtingjeugdinterventies.nl,Den Haag,President Kennedylaan 19,2517 JK,2022-07-20,,,,ok,1,4,3,+beoordeling +studiebelasting -eendaagse|1-?daagse|tweeda
Tailor ICT Training BV,www.tailorit.nl,Tilburg,Spoorlaan 348,5038 CC,2020-10-01,,,,ok,1,2,1,+diploma -incompany training(?!s?pro
Thai Hand,www.thai-hand.com,Amsterdam,Piri Reisplain 70,1057 KH,2024-02-10,,,,ok,1,1,0,+crkbo
Van der Burgt Opleidingen,www.vanderburgtopleidingen.nl,BADHOEVEDORP,Pa Verkuijllaan 2,1711 EE,2019-12-13,,,,ok,1,2,1,+studiepunten -incompany training(?!s?pro
VCM Opleiders,www.vcm-opleiders.nl,Liessel,Hoogdonkseweg 3,5757 PJ,2022-03-14,,,,ok,1,1,0,+crkbo
Vetami Education BV,www.vetami.nl,Kapel-Avezaath,Laageinde 3,4013 CT,2023-03-30,,,,ok,1,4,3,+beoordeling +studiebelasting -eendaagse|1-?daagse|tweeda
VINE Instituut voor Verbindende Communicatie,www.vinetraining.nl,Doorn,Mariniersweg 3,3941 XK,2023-06-15,,,,ok,1,2,1,+meerdaagse leergang|leerga -incompany training(?!s?pro
2Moons,https://www.2moons.nl/,BLEISWIJK,Hoekeindsehof 1,2665 JZ,2019-11-05,,,,ok,0,0,0,
Academie voor Arbeidsmarktcommunicatie ,https://www.academievoorarbeidsmarktcommunicatie.nl/,Rotterdam,Weena 210-212,3012 NJ,2020-08-18,,,,ok,0,4,4,+beoordeling +meerdaagse leergang|leerga -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Academysuite B.V.,www.academysuite.nl,Lunteren,Dorpsstraat 22,6741 AK,2021-02-10,,,,ok,0,0,0,
Acceptus,www.acceptus.nl,Waal,Waal 7,2968 GB,2013-09-26,,,,ok,0,0,0,
ACT Guide B.V.,https://www.act-guide.com,EINDHOVEN,High Tech Campus 32,5656 AE,2020-04-24,,,,ok,0,0,0,
Active4you,www.active4you.nl,EINDHOVEN,Schiestraat 5,5626 AZ,2017-06-01,,,,ok,0,0,0,
Ad Appel Taaltrainingen,https://www.adappel.nl/,HEEMSTEDE,Glipperweg 94-G,2104 AM,2018-08-16,,,,ok,0,0,0,
Adwise Academy B.V.,www.adwise.nl,Almelo,Twentepoort West 12A,7609 RD,2020-09-03,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Aeres Tech,www.aeres.nl,Ede,Zandlaan 29,6717 LN,2020-11-01,,,,ok,0,0,0,
Alsare Academie B.V.,https://alsare.nl,Rotterdam,Linker Rottekade 292 unit 4.01,3034 CV,2024-06-17,,,,ok,0,0,0,
Amice Academy B.V.,www.amice.nl,Hoevelaken,Hogebrinkerweg 17a,3871 KM,2021-08-05,,,,ok,0,0,0,
Amsterdam Data Academy,https://amsterdamdataacademy.com/,Zeist,Steynlaan 44,3701EH,2022-03-22,,,,ok,0,0,0,
aNewSpring,www.anewspring.com,ROTTERDAM,Westblaak 180,3012 KN,2014-05-16,,,,ok,0,0,0,
Art of Colors,www.artofcolors.nl,Amsterdam ,Singel 432 (zie opmerking),1017 AV,2022-02-14,Inburgering,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Basten B.V.,www.bastentrainingen.nl,Eindhoven,Daumierstraat 5,5623 EV,2019-08-27,,,,ok,0,0,0,
BAYZ Analytics B.V.,www.bayz.nl,Amsterdam ,Barbara Strozzilaan 201,1083 HN ,2023-01-02,,,,ok,0,0,0,
Beeckestijn Business School,https://www.beeckestijn.org/,Leusden,Leusderend 30,3832 RC,2020-09-29,,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,3,3,+post-?hbo -eendaagse|1-?daagse|tweeda
Behavior Change Group - Academy,https://behaviorchange.group/academy/,NIJMEGEN,Tweede Walstraat 2,6511 LV,2018-05-11,,,,ok,0,3,3,+crkbo +diploma -eendaagse|1-?daagse|tweeda
benVitaal Academy,www.benvitaal.nl,Beek,Kelmonderstraat 55,6191 RD,2020-08-12,,,,ok,0,0,0,
Bergsma en de Boer Bij- en Nascholing,https://www.bergsmaendeboer.nl/,LEEUWARDEN,Huizumerlaan 16,8934 BH,2018-05-03,,,,ok,0,0,0,
Berlitz Schools of Languages BV,www.berlitz.nl,AMSTERDAM,Weerdestein 205,1083 GN,2018-05-03,,,,ok,0,0,0,
Beroepsopleiding Makelaars B.V. (Handelsnaam Opleidingsinstituut Vastgoedprofessionals),www.ovgp.nl,Den Haag,Bezuidenhoutseweg 12,2594 AV,2023-03-01,,,,ok,0,0,0,
Blauw B.V.,www.blauwbv.nl,SOEST,Veldweg 6-A,3764 CP,2015-02-11,,,,ok,0,0,0,
Blue Road Academy BV,https://blueroadacademy.com,Amsterdam,"Herengracht 495, Unit 1.2",1017 BT,2025-03-13,,,,ok,0,0,0,
Bogaers Taleninstituut,www.bogaerstalen.nl,TILBURG,Groenstraat 139-155,5021 LL,2009-06-01,,,,ok,0,0,0,
Bon Courage,www.boncourage.eu,BAARN,Nassaulaan 12,3743 CC,2018-09-25,,,,ok,0,0,0,
Bouwstarters,www.bouwmensen.nl/vestigingen/apeldoorn,Apeldoorn,Kanaal Noord 260,7322 AE,2021-06-10,,,,ok,0,0,0,
Breincentrum B.V.,https://www.breincentrum.com/,Wijchen,Zuiderpoort 56,6605 HN,2022-04-18,,,,ok,0,0,0,
Bright Alley B.V.,www.brightalley.nl,UTRECHT,Herculesplein 80,3584 AA,2014-01-01,,,,ok,0,0,0,
Bron Trainingen,www.brontrainingen.nl,Zwolle,Punterweg 20 (toevoeging 1 06),8042 PB,2022-05-10,,,,ok,0,0,0,
Bureau Bewezen Effect B.V.,www.bewezeneffect.nl,Rotterdam ,Elsbes 36,3069 LN,2022-08-22,,,,ok,0,0,0,
Bureau HTM | Adapt,www.bureauhtm.nl,Zwolle,Dr. van Deenweg 162,8025 BM,2023-03-30,,,,ok,0,0,0,
Bureau Personal Development B.V. ,https://www.bpdtraining.nl ,Zoetermeer ,Topaas 8,2719 VD,2023-01-30,,,,ok,0,0,0,
Business Mine B.V.,https://businessmine.co,Zwolle,Paxtonstraat 3N | Unit A5999,8031 RP,2023-05-09,,,,ok,0,0,0,
Business School Notenboom,www.notenboom.nl,EINDHOVEN,Beukenlaan 145,5616 VD,2018-01-16,,,,ok,0,0,0,
BVO Opleidingen B.V. (Boertien Vergouwen Overduin),www.bvo.nl,HILVERSUM,Marathon 7,1213 PD,2013-01-01,,,,ok,0,0,0,
Coincide BV,www.coincide.nl,AMSTERDAM,Argonautenstraat 29,1076 KK,2020-06-25,,,,ok,0,0,0,
College voor Integrale Geneeswijzen BV ,https://collegeintegralegeneeswijzen.nl/,Amsterdam,Contactweg 145-153,1014 BJ,2023-01-30,,,,ok,0,0,0,
Combo Emonomy BV,www.combo.nl,Utrecht,Catharijnesteeg 4 ,3512 NZ,2022-02-07,,,,ok,0,0,0,
Conrado,www.conrado.nl,AMSTERDAM,Papaverweg 42/b,1032 KJ,2023-01-02,,,,ok,0,0,0,
De Baak,www.debaak.nl,DRIEBERGEN,De Horst 1,3971 KR,2025-02-25,,,,ok,0,0,0,
De Groot LPMW Lasinstituut,www.lasinstituut.nl,Breda,Weidehek 24 ,4824 AS,2022-03-28,,,,ok,0,0,0,
De Kleine Tiki,www.dekleinetiki.nl,Breda ,Langendijk 87,4801 BV,2022-05-30,,,,ok,0,0,0,
De Trainingsacteur Academie,www.trainingsacteur-academie.nl,Markelo,Plasdijk 2B,7475 TD,2022-02-14,,,,ok,0,0,0,
De Vrije Taal,www.devrijetaal.nl,Alkmaar,Comeniusstraat 6,1817 MS,2023-11-02,,,,ok,0,0,0,
Deloitte Academy,https://www.deloitte.com/gr/en/about/deloitte-academy.html,ROTTERDAM,Wilhelminakade 1,3072 AP,2016-03-01,,,,ok,0,0,0,
Deltion Business,www.deltion.nl,ZWOLLE,Mozartlaan 15,8031 AA,2019-02-06,,,,ok,0,0,0,
Dental Best College BV,www.dentalbestcollege.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2025-05-26,,,,ok,0,0,0,
Dental Best Learning,www.dentalbestcollege.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2026-02-19,,,,ok,0,0,0,
Dental Product Promotions,www.dentalbestcollege.nl,Deventer (Colmschate),Koggeschip 212,7429 BG,2026-02-19,,,,ok,0,0,0,
Dentallect (onderdeel van BSL),www.bsl.nl,Utrecht,Varrolaan 114,3584BW,2012-11-19,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
DesignThinkers Academy,www.designthinkers.nl,Amsterdam,Nieuwe Leliestraat 13,1015 SH,2022-04-04,,,,ok,0,0,0,
Dialogue Academy BV,www.kyden.com,Hilversum,Oude Amersfoortseweg 125,1212 AA,2016-04-28,,,,ok,0,0,0,
Digidog B.V.,www.digidog.nl,MELICK,Peysstraat 87,6074 HM,2022-06-13,,,,ok,0,0,0,
Dream Support,www.dreamsupport.nl,AMSTERDAM,Bataviastraat 24,1095 ET,2022-06-22,,,,ok,0,0,0,
Dutch Human Development Academy B.V.,https://dutchhumandevelopmentacademy.nl,Hilversum,Johannes Gerardtsweg 115,1222 PP,2023-05-17,,,,ok,0,0,0,
Duthler Associates,www.duthler.nl,DEN HAAG,Frankenslag 137,2582 HH,2017-10-24,,,,ok,0,0,0,
Dé Codeerschool,https://codeerschool.nl/,,,,2026-04-14,,,,ok,0,0,0,
E-learning Training,www.elearningtraining.nl,DEN HAAG,Lange Vijverberg 9,2513 AC,2017-02-17,,,,ok,0,0,0,
EBC Taleninstituut,www.ebc.nl,BERGEN OP ZOOM,Keldermanslaan 3, 4611 AL,2009-06-01,,,,ok,0,0,0,
EchoXpert,www.echoxpert.nl,AMSTERDAM,Oeverpad 300,1068 PJ,2019-05-29,,,,ok,0,0,0,
Echt Nederlands,www.echtnederlands.nu,DEN HAAG,Calandstraat 12,2521 AG,2019-03-01,,,,ok,0,0,0,
Edux,www.edux.nl,Ulvenhout,Tolweg 11 ,4851SJ,2022-02-21,,,,ok,0,0,0,
Elycio Talen BV,www.elyciotalen.nl,Rijswijk,De Bruyn Kopsstraat 15 G,2288 EC,2025-06-10,,,,ok,0,0,0,
EMDR Kind en Jeugd ,www.emdrkindenjeugd.nl,Oegstgeest ,Jacob van Maerlantlaan 23,2343 JX ,2022-08-26,,,,ok,0,0,0,
Fabius Opleidingen,www.fabiusopleidingen.nl,OOSTERHOUT,Dillehof 1,4907 BG,2010-03-02,,,,ok,0,0,0,
Faculty of Skills (handelsnaam We are Robin),www.faculty.nl,UTRECHT,Hooghiemstraplein 152,3514 AZ,2020-09-28,,,,ok,0,0,0,
Fast Lane Benelux BV,www.flane.nl,Utrecht ,Burgemeester Verderlaan 11B,3544AD,2021-03-26,,,,ok,0,0,0,
Fast Lane Nederland BV,www.fastlane.nl,Utrecht,Burgermeester Verderlaan 11,3544 AD,2022-06-13,,,,ok,0,0,0,
Feedback Learning & Development B.V.,www.feedbackconsulting.nl,Klundert,Kerkring 21,4791 HG,2026-04-23,,,,ok,0,3,3,+toetsing -eendaagse|1-?daagse|tweeda
Feedback Training & Consulting bv,www.feedbackconsulting.nl,Klundert,Kerkring 21,4791 HG,2021-09-01,,,,ok,0,3,3,+toetsing -eendaagse|1-?daagse|tweeda
Fintastic Media Group B.V,www.madelonvos.nl,Amsterdam ,Herengracht 449A,1017 BR,2022-06-13,,,,ok,0,0,0,
Focus Academy,www.focusacademy.com,Amsterdam ,Haarlemmerweg 317-G,1051 LG,2022-09-15,,,,ok,0,0,0,
FP&P Leiderschap en Organisatieontwikkeling BV ,https://www.fpnp.nl ,Driebergen- Rijsenburg,Hoofdstraat 71,3971 KD,2023-01-02,,,,ok,0,0,0,
Freia Holding,www.freia.nl,GRONINGEN,Laan Corpus den Hoorn 300,9728 JT,2024-01-01,,,,ok,0,0,0,
Frits Philips & partners Jr. BV,www.fpnp.nl,Driebergen- Rijsenburg,Hoofdstraat 71,3971 KD ,2022-06-13,,,,ok,0,0,0,
Furca B.V.,https://furca.nl,Dordrecht,Krommedijk 69,3312 CE,2024-11-18,,,,ok,0,0,0,
"Gerben Bergsma Training, Advies en innovatie",www.gerbenbergsma.nl,LEEUWARDEN,Huizumerlaan 16,8934 BH,2011-01-12,,,,ok,0,0,0,
Global Knowledge Network Netherlands BV,https://www.globalknowledge.com/nl-nl,Nieuwegein,Iepenhoeve 5,3438 MR,2021-01-07,,,,ok,0,0,0,
Gooiconsult Academie,www.gooiconsult.nl,Utrecht,2e Korte Baanstraat 7,3581 BZ,2013-01-01,,,,ok,0,0,0,
Grafische Cursussen | Option One,https://www.grafischecursussen.nl,Amsterdam,Sem Presserhof 108,1087 JG,2022-02-22,,,,ok,0,4,4,+opdracht(?:en)? in(?:te)?l +crkbo -eendaagse|1-?daagse|tweeda -incompany training(?!s?pro
Hamrah ,www.hamrah.nl,Rotterdam ,Zuidplein 14,3083 CW,2022-08-25,,,,ok,0,0,0,
Het Spring Instituut B.V.,www.springinstituut.nl,Ede,Galvanistraat 1,6716 AE,2026-02-26,,,,ok,0,0,0,
HOBP Holding BV,hobp.nl,BREDA,Liesboslaan 57,4813 EB,2020-06-25,,,,ok,0,0,0,
Hodac/ Cadix,www.cadix.nl,Drachten,Amperelaan 1 ,9207AM,2020-11-01,,,,ok,0,0,0,
Hondentrimopleiding,www.span-info.nl,Ermelo,Eendenparkweg 49A,3852 LG,2022-04-04,,,,ok,0,0,0,
Horizon Trainingen,https://horizontraining.nl/,Groningen,Laan Corpus den Hoorn 300,9728 JT,2021-02-03,,,,ok,0,0,0,
Horizon Trainingen ll B.V.,https://horizontraining.nl/,Groningen,Laan Corpus den Hoorn 300,9728 JT,2022-01-31,,,,ok,0,0,0,
HorizonTaal,https://horizontaal.nu/,DEN HAAG,Calandstraat 1,2521 AD,2020-04-10,,,,ok,0,0,0,
Hormoon Community Nederland ,www.opleidinghormonen.nl,Rotterdam ,Haltewachter 18,3034 KE,2022-11-23,,,,ok,0,0,0,
Hout Support,www.houtsupport.nl,Tuitjenhorn,Oostwal 2,1747 EZ,2022-05-25,"Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg; (Zakelijke) dienstverlening; Agrarisch en groen; Autobranche; Beveiliging; Coaching; Cultuur, sport en recreatie; Cybersecurity; Economisch- administratief; EVC; Exameninstituten; Financiële dienstverlening; Groothandel; Industrie – Techniek; IT; Klantcontact; Klimaat; Laaggeletterdheid; Learning & Development; Leiderschap; Online leren; Overheid; Persoonlijke effectiviteit; Schoonmaak; Sociaal werk, jeugdzorg en kinderopvang; Talen - NT2; Thuis zorgverpleging en/of medisch en/of alternatieve zorg; Transport en logistiek",Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
HQ Werkmaatschappij B.V.,https://hqwerkmaatschappij.nl,Rotterdam,Beursplein 37,3011 AA,2023-10-16,,,,ok,0,0,0,
Human & Horse Academy,www.humanhorseacademy.com,Kootwijkerbroek,Harskampeerweg 22,3774 JP,2022-03-22,,,,ok,0,0,0,
IAM Studios B.V.,https://www.stemacteren.nl,Breda,Donauweg 10,1043 AJ,2022-05-10,,,,ok,0,0,0,
Iber Lengua Taal & Cultuur,www.iberlengua.nl,HAARLEM,A. Hofmanweg 5A,2013 BH,2009-06-01,,,,ok,0,0,0,
ICM Opleidingen & Trainingen,www.icm.nl,UTRECHT,Joseph Haydnlaan 2,3533 AE,2012-06-01,,,,ok,0,3,3,+post-?hbo -eendaagse|1-?daagse|tweeda
Idiomas,www.idiomas.nl,Tilburg,Ellen Pankhurststraat 1,5032 MD,2024-10-14,,,,ok,0,0,0,
IKEV,www.ikev.nl,Overberg,Zandschulperweg 2,3959 AX,2017-02-28,,,,ok,0,0,0,
IMC Mensontwikkeling,www.mensontwikkeling.nl,Loosdrecht,Oud Loosdrechtsedijk 9,1231 LN,2022-01-03,,,,ok,0,0,0,
Impact Training & Advies ,www.impacttrainingenadvies.nl,Almelo,Twentepoort Oost 55A,7607 RG,2021-08-06,,,,ok,0,0,0,
Inclufy Academy,https://inclufy.com/academy,,,,2026-05-04,,,,ok,0,0,0,
Instituut Mentoris Opleidingen en Trainingen BV,www.instituutmentoris.nl ,Zutphen,Noorderhavenstraat 49,7202 DD,2021-10-19,,,,ok,0,0,0,
Instytut Jezyka Niderlandzkiego ISN,www.instytutisn.nl,Heijningen,Oude Heijningsedijk 189,4749 RE,2026-06-18,,,,ok,0,0,0,
Inzigd,www.inzigd.nl,Stramproy,Kroonstraat 12A,6039 AE,2022-01-03,,,,ok,0,0,0,
IPC Groene Ruimte,https://www.ipcgroen.nl,Arnhem,Koningsweg 35,6816 TG,2022-04-18,,,,ok,0,0,0,
IPro Training NL,https://iprotraining.nl/,Den Haag,Binckhorstlaan 36 - Unit C 059,2516 BE,2022-01-31,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
IV Academy,www.iv-experts.com,Veenendaal,Standaardruiter 9 ,3905 PT,2022-04-18,,,,ok,0,0,0,
IW Nederland,www.iw.nl,Amersfoort,Hardwareweg 15,3821 BL,2022-02-28,,,,ok,0,0,0,
"IW Noord, Oost & Flevoland ",www.iwnederland.nl,Apeldoorn,Arnhemseweg 107,7331 BD,2022-03-24,,,,ok,0,0,0,
IW Noord-Holland ,www.iwnederland.nl,Heerhugowaard,W.M. Dudokweg 66,1703 DC,2022-03-24,,,,ok,0,0,0,
IW Zuid & Midden,www.iwnederland.nl,Breda,Minervum 7051,4817 ZK,2022-03-24,,,,ok,0,0,0,
IW Zuid- Holland ,www.iwnederland.nl,Rijswijk,Verrijn Stuartlaan 19 ,2288 EK,2022-03-24,,,,ok,0,0,0,
IW Zuid- oost,www.iwnederland.nl,Roermond,Kerkveldlaan 4,6040 KG ,2022-02-28,,,,ok,0,0,0,
Ja tegen Nu BV,www.jategennu.nl,Heerlen,Putgraaf 3,6411 GT,2022-02-21,,,,ok,0,0,0,
JAR Opleidingen,www.jaropleidingen.nl,Alkmaar,James Wattstraat 8,1871 DC,2005-11-01,,,,ok,0,0,0,
Kenniscentrum Sociaal Domein Opleiden,www.kenniscentrumsociaaldomein.nl,MEPPEL,Blankenstein 410,7943 PH,2017-09-19,,,,ok,0,0,0,
Kickstart School B.V.,www.kickstartschool.nl,Den Haag,Koninginnegracht 62,2514 AG,2024-02-22,,,,ok,0,0,0,
KIOM Opleidingen,www.kiom.nl,Veldhoven,Locht 117,5504 RM,2022-02-11,,,,ok,0,0,0,
Klankpraktijk Sylvia Zijlstra ,https://klankpraktijk.nl,Sneek,Tingietersstraat 8,8601 WJ,2024-02-22,,,,ok,0,0,0,
Konijn Meubelmakers t.h.o.d.n. Beemster School voor Meubelmaken ,beemsterschoolvoormeubelmaken.nl,Zuidoostbeemster ,Zuiderweg 52,1461 GD ,2022-11-23,,,,ok,0,0,0,
KTBA Netherlands,https://www.ktba.com/,KAATSHEUVEL,Horst 12,5171 RA,2015-07-22,,,,ok,0,0,0,
Kusters scholing & training ,https://www.kusters-scholing.nl/,,,,2026-02-02,,,,ok,0,0,0,
L&D Talent Nederland B.V. (vh EMC Advies),www.houseoftalents.nl,Utrecht,Orteliuslaan 855,3528 BE,2012-10-01,,,,ok,0,0,0,
Language Switch,www.languageswitch.eu,Vlodrop,Etsberg 18,6063 NH,2021-11-29,,,,ok,0,0,0,
Lasconsult opleidingen BV,www.lasconsult.nl,Heerenveen,De Ynfeart 7-209,8447 GM,2025-06-10,,,,ok,0,0,0,
Lemion B.V.,www.boom.nl,Amsterdam,Prinsengracht 747,1017 JX,2023-07-20,,,,ok,0,0,0,
Lest Best,www.lestbest.nl,UTRECHT,Newtonlaan 215,3584 BH,2019-03-20,,,,ok,0,0,0,
Letsel Opleidingen B.V.,https://letselopleidingen.nl/,Utrecht,Europalaan 500,3026 KS,2020-03-24,,,,ok,0,0,0,
Loo van Eck,https://lve.nl/,EDE,Pascalstraat 28,6716 AZ,2019-10-03,,,,ok,0,0,0,
Loof training en advies,www.looftrainingen.nl,BERGEN NH,Eeuwigelaan 3,1861 CL,2013-01-28,,,,ok,0,0,0,
LTC/ Language Training Centre,www.ltc.nl,Nijmegen,Prins Hendrikstraat 2,6521 AW,2009-06-01,,,,ok,0,0,0,
Maatschap Stap Brabant ,www.stapbrabant.nl,Gemonde ,Loopstraat 2,5293 NA ,2022-08-31,,,,ok,0,0,0,
Maxxecure,www.maxxecure.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR  ,2016-08-01,,,,ok,0,0,0,
Maxxecure Academy,www.maxxecure.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR,2016-08-01,,,,ok,0,0,0,
MBO4Nederland,www.mbo4nederland.nl,HILLEGOM,Kwekerij 6,2182 AG,2016-01-18,Inburgering; Bouw; ICT; Onderwijs; Techniek; Zorg,Drenthe; Flevoland; Groningen; Overijssel; Zeeland,,ok,0,0,0,
Melearning Onderwijs B.V. ,https://melearning.nl/,AMSTERDAM,Lauriergracht 116-S,1016 RR,2020-07-23,,,,ok,0,0,0,
Moovs,www.moovs.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR,2016-08-01,,,,ok,0,0,0,
Moovs Academy,www.moovs.nl,AMSTERDAM,Tweede Jan Steenstraat 84H,1074 CR,2016-08-01,,,,ok,0,0,0,
MP Beauty Group BV (M P Brows ),www.mp-brows.nl,Arnhem,Rijnkade 36,6811HA,2022-04-04,,,,ok,0,0,0,
Mudita Academie,www.mudita-academie.nl,WINTERSWIJK-WOOLD,Schoolweg 7,7108 BM,2015-11-06,,,,ok,0,0,0,
MYOS Opleidingen,http://myosopleidingen.nl,Utrecht ,Otto Hahnweg 56,3542 AX,2022-03-22,,,,ok,0,0,0,
Nationale Beroepsopleiding Zwemonderwijs BV (NBZ),www.nbz.nl,Oirschot,De Scheper 312,5688 HP,2021-02-18,Bouw; ICT; Onderwijs; Techniek; Zorg,,,ok,0,0,0,
