Aanbieder,Beoordeelt zelf werk van lerenden,Bewijs (citaat + bron),Particulier,Bron particulier,Moeder / groep,Categorie
Kronenburgh Beroepsopleidingen,Ja,"Poort 0 = Ja voor de kwalificerende mbo: OCW-erkende crebo-opleidingen die Kronenburgh zelf diplomeert. Citaat: ""Dit is een door het ministerie OCW erkende opleiding: 25879 Junior Manager Internationale Handel"" (business-college.kronenburgh.nl) en ""particuliere school voor MBO en HBO Bachelor opleidingen"" (kronenburgh.nl). Sector-fit STERK: International Business, Sales, Marketing, Secretarieel, Juridisch, Financieel, Overheid (MBO3-4). Let op: een deel van de praktijkopleidingen loopt via externe examenbureaus (SVMNIVO e.d.); die vallen buiten scope, maar de kwalificerende OCW-mbo is eigen examinering. Veel geschreven werk. Meerjarige trajecten. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Business/handel/secretarieel/juridisch (mbo)
Essenzo BV,Ja,"Poort 0 = Ja: rijkserkende particuliere mbo-opleider die zelf diplomeert. Citaat: ""De mbo-diploma's van Essenzo, ook die van de bedrijfsopleidingen die Essenzo ontwikkelt, zijn erkend door het Ministerie van Onderwijs, Cultuur en Wetenschap"" met eigen Onderwijs- en Examenregeling (OER) (essenzo.nu/over-essenzo/). Sector-fit STERK: MBO-4 business/bedrijfskundig (werkend leren, master-gezel), plus HBO Business Management. Veel geschreven werk. Meerjarige trajecten. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Business/management (mbo)
OPPstap Zorg & Welzijn B.V.,Ja,"Rijkserkende particuliere mbo (BRIN 30VM), examineert zelf. Citaat: ""Dan krijg je een landelijk erkend, volledig mbo-diploma voor Helpende Zorg en Welzijn niveau 2"" en ""Tijdens je opleiding doe je verschillende examens ... zoals gedragsbeoordelingen, examengesprekken, presentaties of examenverslagen"" (https://oppstap.nl/opleidingen/helpende-zorg-welzijn/). Eigen examencommissie (directeur onderwijs + onderwijskundigen), Verslag van werkzaamheden 2022-2023. Sector zorg & welzijn = sterk voor geschreven werk (examenverslagen, portfolio's). mbo-traject duurt maanden/jaren. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & Welzijn (mbo)
Scholings Trainings en Opleidings Centrum STOC B.V.,Ja,"Particulier opleidingsinstituut in zorg, wonen en welzijn dat zelf CREBO-opleidingen verzorgt. Citaat: ""STOC verzorgt diverse CREBO-opleidingen. Wij bieden onze opleidingen zowel in de BBL variant als in de derde leerweg aan"" (https://www.stoc.nl/organisatie/mbo-opleidingen/). Leidt tot landelijk erkende beroepsdiploma's. Sector zorg/welzijn/kinderopvang/onderwijsondersteuning = sterk voor geschreven werk (verslagen, portfolio's). mbo-traject duurt maanden/jaren. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,"Zorg/Welzijn/Kinderopvang/Onderwijs (mbo) [eerder gedropt 2026-07-22 wegens geen citaat, akkoord Dante om terug te zetten 2026-08-07 na nieuw citaat]"
SVOZ B.V.,Ja,"Particuliere zorgopleider die zelf erkende mbo-diploma's afgeeft en zelf examineert. Citaat: ""Dit is een crebo-erkende opleiding (crebo-code 25655) en voldoet aan de eisen van de landelijke kwalificatiestructuur"" en ""Heeft u een aanvraag voor onze MBO- of CZO-examencommissie?"" (https://svoz.nl/opleidingen/mbo-verpleegkundige-opleiding-niveau-4-bbl/). Eigen mbo-examencommissie. Sector zorg/verpleegkunde = sterk voor geschreven werk (zorgplannen, verslagen, casuistiek). mbo-traject duurt jaren. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg/Verpleegkunde (mbo)
VBOT,Ja,"Particuliere erkende mbo-instelling met eigen examencommissie (""Examencommissie"" in navigatie/footer). Citaat: ""opleidingen speciaal ontwikkeld voor volwassenen die een erkend mbo-diploma willen behalen"" (https://vbot.nl/onze-opleidingen/). Aanbod bevat sterke sector-fit opleidingen: Helpende Zorg en Welzijn (niv 2), Verzorgende IG (niv 3), Leidinggevende TAP (niv 4) = zorg/welzijn en management met veel geschreven werk (zorgplannen, verslagen). mbo-traject duurt maanden/jaren. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & Welzijn / Management (mbo)
Zorg en Werk Academy B.V.,Ja,"Particuliere niet-bekostigde mbo-instelling in zorg & welzijn met eigen CREBO-erkenning. Letterlijk citaat: 'Alle diploma's van Zorg en Werk Academy zijn door CREBO erkend.' (https://zorgenwerk.nl/over-ons/). Rijkserkende niet-bekostigde instelling met eigen crebo/diploma examineert per definitie zelf. Sector zorg & welzijn = sterk voor geschreven werk (verslagen, praktijkopdrachten, portfolio's). Trajecten mbo-2/3/4, duur maanden. Poort 0, 0b, sector, particulier: allemaal Ja. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & welzijn (particulier) (mbo)
Scillz,Ja,Particuliere niet-bekostigde mbo-instelling in Maatschappelijke Zorg met eigen CREBO-erkenningen. Letterlijk citaat: 'Scillz heeft eigen crebo erkenningen voor de 6 uitstroomprofielen van de opleiding Maatschappelijke Zorg' (https://www.scillz.nl/aanbod/opleidingen). Eigen crebo-erkenning = examineert zelf. Sector zorg/welzijn (Maatschappelijke Zorg niveau 3/4) = sterk voor geschreven werk. BBL-trajecten van maanden. Alle poorten Ja. — [mbo-workflow 2026-08-07],Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & welzijn / Maatschappelijke Zorg (particulier) (mbo)
Medivus opleidingen BV,Ja,"Particuliere niet-bekostigde mbo-instelling in de zorg (Helpende ZW, Verzorgende IG, mbo-Verpleegkunde, Kraamverzorgende). Rijkserkend met eigen examinering. Letterlijk citaat: 'De opleidingen zijn rijkserkend en je ontvangt een erkend (crebo) diploma' (medivus.nl); site vermeldt dat onafhankelijke examencommissieleden bepalen wie in aanmerking komt voor een diploma. Sector zorg = sterk voor geschreven werk (praktijkopdrachten/portfolio). Trajecten 8-24 maanden. Alle poorten Ja. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,"Zorg (particulier) (mbo) [eerder gedropt 2026-07-22 wegens geen citaat, akkoord Dante om terug te zetten 2026-08-07 na nieuw citaat]"
Laurentius College B.V.,Ja,"Particuliere school met rijkserkende mbo niveau 4 die zelf examineert. Citaat: 'Onze Mbo opleidingen staan onder toezicht van de onderwijsinspectie' (https://laurentiuscollege.nl/over-ons/) - voor een niet-bekostigde instelling betekent diploma-erkenning + inspectietoezicht een eigen examencommissie. Ook: CRKBO-registratie en NRTO-keurmerk. Sector hospitality/travel/aviation/hotelmanagement/event (business), veel verslagen en praktijkopdrachten met geschreven werk. mbo-trajecten ruim > 2 weken (mbo niv 4, ~1,5 jaar). — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Hospitality/travel/business (mbo)
Educared Erkend Opleiden B.V.,Ja,"Citaat: 'Educared biedt door het ministerie van Onderwijs, Cultuur & Wetenschap erkende zorgopleidingen aan op mbo-niveau' (https://educared.nl/opleidingen). Eigen examencommissie: FAQ verwijst naar 'de examencommissie' waar je zelf je aanvraag naartoe stuurt (https://educared.nl/contact-studenteninformatiepunt/veelgestelde-vragen); landelijk erkend mbo-diploma, geregistreerd in CREBO. Opleidingen: Helpende Zorg & Welzijn, Verzorgende-IG, mbo-Verpleegkundige - sterke sector-fit (zorg & welzijn, veel verslagen/portfolio). Duur 6-18 mnd, ruim > 2 weken. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & welzijn (mbo)
i4healthcare B.V.,Ja,"Eigen rijkserkende niet-bekostigde mbo-instelling met eigen crebo (o.a. Verpleegkunde 25655, VIG 25656, Helpende 25498), geeft eigen diploma af en examineert zelf. Citaat: 'landelijk erkend mbo-diploma' en 'Het onderwijs en de examens worden uitgevoerd conform de kaders in het kwalificatiedossier mbo Verpleegkunde' (https://i4healthcare.nl/zorg-en-welzijn-opleidingen/opleiding-mbo-verpleegkunde/); 'Alle mbo-opleidingen zijn erkend door het ministerie van OCW' (https://i4healthcare.nl/zorg-en-welzijn-opleidingen/). Sector zorg & welzijn = veel verslagen/portfolio's = sterke fit voor AI-feedback op geschreven werk. Particulier (geen ROC). — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & Welzijn (mbo)
IAM College,Ja,"Erkende particuliere mbo-4 opleider met eigen diploma (toegang tot hbo), examineert zelf. Citaat: 'I AM College is inderdaad een erkende opleider' en opleidingsrichtingen 'Ondernemen' ('Breng jouw business-ideeen tot leven'), 'Familiebedrijf' en 'Fast track', 'je wordt opgeleid met een ondernemende mindset' (https://iamcollege.nl/). Ondernemerschap/business = veel verslagen, ondernemersplannen, opdrachten = sterke fit voor AI-feedback op geschreven werk. Particulier (geen ROC). — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Ondernemerschap/business (mbo)
Threewise,Ja,"Eigen erkend mbo-diploma, zorg. Citaat: ""Het diploma van Threewise is wettelijk beschermd en voldoet aan alle eisen die het ministerie van Onderwijs, Cultuur en Wetenschappen (OCW) stelt."" (threewise.nl/jezelf-ontwikkelen/opleidingen/verzorgende-ig/). Eigen CREBO (25491 / 25656). Opleidingen Verzorgende IG, Helpende Zorg & Welzijn, Verpleegkundige, Voedingsassistent. Rijkserkende niet-bekostigde mbo met eigen CREBO => examineert zelf. Geschreven werk: zorgverslagen, BPV-verslagen, portfolio. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & Welzijn (mbo)
SPV B.V.,Ja,"Eigen examencommissie voor het mbo-diploma, citaat: ""De examencommissie van SPV beoordeelt of je alle onderdelen van de opleiding (theorie, praktijk, keuzedelen en BPV) voldoende hebt afgerond."" (spv.nu/mbo-3-htv/). Eigen CREBO 25806 (HTV mbo-3), bij DUO geregistreerd. Let op: het aparte BOA-examen loopt extern via ExTH, maar het mbo-diploma diplomeert SPV zelf. Sector Handhaving/Toezicht/Veiligheid met rapporteren (proces-verbaal/rapportages) als beoordeeld geschreven werk. Borderline sector-fit, maar geschreven rapportage-component is aanwezig. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Handhaving / Toezicht / Veiligheid (mbo)
Fundashon Mariadal Academy,Ja,"Eigen zorgopleidingen niveau 3/4 (Verzorgende, MBO-Verpleegkundige) op Bonaire (Caribisch Nederland, OCW). Citaat: FM Academy verzorgt de mbo-opleidingen ""sinds 2018 geheel op eigen naam"" (fundashonmariadal.com/fm-academy/), met eigen CREBO (o.a. 27145 voor niveau 4). Rijkserkende niet-bekostigde mbo met eigen CREBO onder eigen naam => examineert zelf. Geschreven werk: zorg/verpleegkunde verslagen en portfolio. Kanttekening: interne zorgacademie, letterlijk citaat over eigen examinering niet gevonden, oordeel steunt op eigen-naam + eigen CREBO. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg (verpleegkunde) (mbo)
Oranjestad Academy,Ja,"Oranjestad Zorg Academy (Haarlem), niet-bekostigd met eigen BRIN 31KW en CREBO 25656 (Helpende Zorg & Welzijn, Verzorgende IG). Heeft een eigen examencommissie, citaat: ""Iedere ingeschreven student ... heeft toegang tot de betreffende examens; de examencommissie beoordeelt je verzoek"" (zorgacademy.nl/examencommissie/). Rijkserkende niet-bekostigde mbo, examineert zelf. Geschreven werk: zorgverslagen, portfolio. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & Welzijn (mbo)
Haka MBO B.V.,Ja,"Maatschappelijke Zorg, Begeleider MZ niveau 3, eigen CREBO 25780. Citaat: HaKa MBO biedt ""de mogelijkheid om in relatief korte tijd een officieel erkend MBO-diploma te behalen"" (haka-mbo.nl). Eigen examinering binnen de organisatie: praktijkexamens, productbeoordeling en examengesprek met een eigen praktijkbeoordelaar. Rijkserkende niet-bekostigde mbo met eigen CREBO => examineert zelf. Geschreven werk: zorg/welzijn verslagen, portfolio, praktijkopdrachten. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg / Maatschappelijke Zorg (mbo)
S.e.T. Academie B.V.,Ja,"Zorgopleidingen Helpende Plus (niv2), Verzorgende IG (niv3), Verpleegkunde (niv4), eigen CREBO 25498/25265. Citaat: ""Landelijk erkend diploma"" en ""CRKBO-geregistreerd en Crebo-erkend"" (setacademie.com). Rijkserkende niet-bekostigde mbo met eigen CREBO => examineert zelf. Geschreven werk: zorgverslagen, portfolio, praktijkopdrachten. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & Welzijn (mbo)
In Service voor ZorgOnderwijs B.V.,Ja,"Eigen site is-zo.nl noemt ""een erkend diploma in de zorg"" en biedt volledige mbo-programma's: Helpende Zorg en Welzijn (niv2), Verzorgende-IG (niv3), mbo-verpleegkundige (niv4). Ze hebben een eigen onderwijs- en examenregeling (OER, Crebo-dossier 25656, vastgesteld 26-09-2024, directie Tonia Jacobs | Linda Dekker) met een eigen examencommissie die de examens vaststelt en het diplomabesluit neemt. Bron OER: https://www.mijnluna.nl/websites/1834/images/oer-verzorgende-ig.pdf ; https://www.is-zo.nl/ . Poort 0 = zelf examineren via eigen examencommissie. Sector zorg = veel verslagen/portfolio, sterke fit voor AI-feedback op geschreven werk. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & welzijn (mbo niv 2-4) (mbo)
"Mij een zorg, opleiding, training en advies",Ja,"Eigen site mijeenzorgopleiding.nl biedt Verzorgende IG en Helpende plus en zegt letterlijk: ""De beroepsgerichte examens worden afgenomen in de praktijk door een examinerende begeleider of op school"" (https://www.mijeenzorgopleiding.nl/opleidingen/helpende-zorg-welzijn/). Programma bevat Nederlands, rekenen, burgerschap en LB (volwaardig mbo, Verzorgende IG crebo 25656). Poort 0 = zelf examineren (school/praktijk). Sector zorg = veel schriftelijk werk (zorgplannen, verslagen, portfolio). Iets minder hard bewijs dan de rest (geen expliciete rijkserkenning-zin op eigen site), maar examinering gebeurt zelf. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & welzijn (mbo niv 2-3) (mbo)
Instituut Cronesteyn BV,Ja,"Eigen site biedt MBO4 Doktersassistent, Apothekersassistent, Medisch secretaresse en Tandartsassistent via de Derde Leerweg. Het Doktersassistent-diploma is erkend door de Inspectie van het Onderwijs op kwalificatiedossier crebo 25695 (https://www.instituutcronesteyn.nl/diploma-doktersassistent/ ; https://www.instituutcronesteyn.nl/opleidingen/). Derde leerweg = niet-bekostigd, rijkserkend, eigen examencommissie en eigen mbo-diploma. Sector medisch-administratief = veel geschreven werk (verslagen, casuistiek, correspondentie), sterke fit. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Medisch-administratief (doktersassistent e.d.) (mbo)
Medischinstituut,Ja,"Eigen site zegt letterlijk: ""Een officieel MBO-4 diploma dat erkend is door het Ministerie van Onderwijs, Cultuur & Wetenschap"" en ""Medischinstituut biedt de door het Ministerie erkende doktersassistenteopleiding aan volgens de Derde Leerweg"" (https://medischinstituut.nl/opleidingen/doktersassistente-opleiding/). CRKBO/NRTO/Inspectie-erkend, locatie Zoetermeer bevestigd, ook Medisch secretaresse. Derde leerweg = eigen examinering en eigen mbo-diploma. Sector medisch-administratief = veel geschreven werk, sterke fit. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Medisch-administratief (doktersassistent e.d.) (mbo)
Het Volwassenen College,Ja,"Eigen site volwassenencollege.nl biedt een ""Erkende éénjarige opleiding tot Doktersassistent"" met ""Examens over hele schooljaar verspreid"" en NRTO-keurmerk (https://volwassenencollege.nl/). Doktersassistent is uitsluitend als rijkserkende CREBO-mbo betekenisvol; ze nemen de examens zelf af (verspreid over het schooljaar). Sector medisch-administratief = veel geschreven werk, sterke fit. Iets minder expliciet over eigen examencommissie dan de andere doktersassistent-opleiders, maar erkende opleiding + eigen examinering. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Medisch-administratief (doktersassistent) (mbo)
Flair Scholing,Ja,"Eigen site biedt Doktersassistent (rijkserkend, crebo 25675, definitieve erkenning na inspectiebezoek OCW) en Medisch secretaresse (https://www.flairscholing.nl/over-flair/erkenningen/ ; https://www.flairscholing.nl/doktersassistent/). ""De examencommissie van de school"" bepaalt vrijstellingen en de opleiding sluit af met officiele MBO-4 examens Doktersassistent. Poort 0 = eigen examencommissie + eigen diploma. Sector medisch-administratief = veel geschreven werk, sterke fit. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Medisch-administratief (doktersassistent/medisch secretaresse) (mbo)
NewCare College,Ja,"Eigen site zegt letterlijk: ""Bij het New Care College volg je erkende mbo-opleidingen. Dat wil zeggen dat je een officieel diploma ontvangt en dat de kwaliteit van ons onderwijs is erkend door het ministerie van Onderwijs"" (https://newcarecollege.nl/opleidingen/). Eigen CREBO (Verzorgende IG, crebo 25656) en eigen examenreglement/examencommissie (PDF's in de footer). Poort 0 = zelf examineren + eigen diploma. Sector zorg = veel verslagen/portfolio, sterke fit. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,"Zorg & welzijn (Verzorgende IG, mbo niv 3) (mbo)"
Prosper College B.V.,Ja,"Eigen rijkserkende particuliere mbo met eigen CREBO, examineert per definitie zelf. Citaat: ""Deze opleiding MBO-4 Sociaal werker is erkend door het ministerie van OC&W en geregistreerd in het Crebo onder nummer 25958"" en ""Met deze opleiding behaal je een erkend MBO-4 diploma"" (https://prospercollege.nl/opleiding-sociaal-werker/). Sterke sectorfit: sociaal werk/welzijn, veel verslagen en praktijkopdrachten. Duur 18 maanden. — [mbo-workflow 2026-08-07]",Ja,Rijkserkend niet-bekostigd mbo (DUO-register),Zelfstandig,Zorg & Welzijn (Sociaal werker) (mbo)
Universiteit Nyenrode B.V.,Ja,"Private universiteit (B.V.), beoordeelt zelf. NVAO-rapport: ""Een door de student afgeronde en door de begeleider geaccordeerde scriptie wordt door een hoogleraar op inhoud beoordeeld"" en ""de scriptie wordt door twee beoordelaars uitgebreid beoordeeld""; alle toetsen op basis van het vier-ogenprincipe. Poort 0 Ja (eigen examinatoren/hoogleraren + tweede lezer). Particulier Ja (private, niet-bekostigde universiteit). Duur >2 wkn. URL: https://publicaties.nvao.net/591999cda38f2_005409%20rapport%20Nyenrode%20wo-ma%20Executive%20Master%20of%20Finance%20and%20Control.pdf — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Private universiteit / post-master finance & control (MBA)
Wittenborg University of Applied Sciences,Ja,"Particuliere hbo, beoordeelt zelf via eigen Exam Board/examinatoren. EEG Part 6: ""The Exam Board appoints examiners who are in charge of taking (partial) tests. Only staff members in charge of education in the educational unit concerned can be appointed examiner... Examiners shall always hold an academic qualification of at least master's level."" Poort 0 Ja. Particulier Ja (private hbo, eigen bachelor/master). Duur >2 wkn. URL: https://www.wittenborg.eu/sites/default/files/wittenborg/pdf/downloads/eeg/eeg_part_6/PART%206%20-%20Graduation%20and%20Examination%20Board%20Regulations.pdf — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Particuliere hogeschool / business (bachelor + MBA/master)
Stichting Tyndale Theological Seminary,Ja,"Private stichting, Engelstalige theologie-master, NVAO/ECTE-geaccrediteerd, beoordeelt zelf. NVAO-rapport: ""The first reader is a full-time faculty member at Tyndale, while the second reader is from outside of Tyndale... This contributes to the independency of the grading process"" en ""examinations are checked by peers (four-eyes principle) before they are given to"" studenten; ""The examination board appoints the examiners."" Poort 0 Ja (eigen faculty beoordeelt thesis). Particulier Ja (private stichting, niet-bekostigd). Duur >2 wkn (master + thesis). URL: https://publicaties.nvao.net/prd/AV-1204_20230302_Rapport_Report%20Tyndale%20Theological%20Seminary%20final%20v211212.pdf — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,"Particuliere theologische opleiding (post-hbo master, Engelstalig)"
St. Opleidingsinstituut GGZ Verpleegkundig Specialist,Ja,"Aangewezen private hbo-masteropleiding (180 ECTS, 3 jaar) met eigen onderzoeks-/scriptieleerlijn en eigen toetsing. Citaat: ""Een praktijkbegeleider treedt op als coach en supervisor en beoordeelt het werk van de vios in de praktijk."" (https://ggzvs.nl/de-opleiding/wat-doen-we/over-de-opleiding/praktijkleren/). De opleiding werkt volgens een eigen Protocol Toetsing en Beoordeling; werk wordt door de instelling zelf beoordeeld. Duur ruim >2 weken. — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Post-hbo master GGZ / zorg
Thomas More Hogeschool,Ja,"Private (aangewezen) hbo-pabo (bachelor, 2,5-4 jaar) die haar eigen studenten toetst en beoordeelt via een eigen examencommissie. De hogeschool heeft een eigen examencommissie (contact: examencommissie@thomasmorehs.nl) en meldt op de opleidingspagina: ""Je krijgt structureel feedback waardoor je je snel ontwikkelt tot een zelfstandige leerkracht"" (https://www.thomasmorehs.nl/opleidingen/voltijd-pabo/ en https://www.thomasmorehs.nl/faq/). Afstudeeronderzoek wordt door eigen examinatoren beoordeeld. Duur >2 weken. — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Particuliere hbo-lerarenopleiding (pabo)
Stichting BV/BmS Opleidingen,Ja,"Private stichting met graadverlening (MSc-erkend sinds nov. 2023), hbo-masteropleiding Constructief Ontwerpen (3 jaar deeltijd) die zelf beoordeelt via eigen examencommissie. Citaat: ""Het afstudeerwerk moet worden verdedigd voor de examencommissie."" (https://www.bouwenmetstaal.nl/educatief/opleidingen/constructief-ontwerpen-bvbms). Duur >2 weken. NB: afstudeerwerk is grotendeels ontwerp/berekening van een staalconstructie, minder tekstueel schriftelijk werk. — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Technische hbo-master (constructief ontwerpen)
Nederlandse Orde van Belastingadviseurs (NOB) Beroepsopleiding,Ja,"Private beroepsvereniging/stichting; verplichte 3-jarige Beroepsopleiding Belastingadviseurs waarin eigen docenten schriftelijk werk beoordelen. Citaat: ""Voor het overgrote deel van de cursussen moet een voorbereidingsopdracht worden gemaakt, waarvan het resultaat wordt beoordeeld door de docent."" (https://www.nob.net/wp-content/uploads/2024/01/Voorwaarden-Beroepsopleiding-Belastingadviseurs-def.pdf). Duur >2 weken. NB: opleiding kent geen centraal examen; beoordeling betreft schriftelijke voorbereidingsopdrachten (relatief kort werk). — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Fiscale beroepsopleiding
Register Belastingadviseurs RB Academy,Ja,"Private beroepsvereniging (Register Belastingadviseurs) met eigen modulaire opleiding en eigen schriftelijke toetsing plus optionele scriptie. Citaat: ""Elke module wordt afgesloten met een schriftelijk examen en na succesvolle afsluiting van alle 15 modules ontvang je het diploma Belastingconsulent."" (https://rb.nl/onderwijs-programmas/programma-belastingconsulent/). De schriftelijke toetsen worden door Register Belastingadviseurs zelf afgenomen (https://rb.nl/rb-academy/). Duur >2 weken. — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Fiscale beroepsopleiding
Sioo,Ja,"Particuliere onderwijsinstelling, langste programma's 9-13 maanden (ruim > 2 weken). Poort 0: Sioo beoordeelt deelnemers zelf. Leergangpagina Advanced Consulting and Change (12 maanden, 560 uur) vermeldt letterlijk een 'Week van proefbeoordelingsgesprekken' en 'Week van beoordelingsgesprekken', met praktijkopgaven gedurende de leergang (https://sioo.nl/opleiding/de-nieuwe-adviseur/). Succesvolle afronding geeft recht op de CMC-titel via beroepsvereniging Ooa. Kanttekening: beoordeling loopt deels via gesprekken; het geschreven component zit in de praktijkopgaven. — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Postacademische organisatie- en veranderkunde
Federatie Belastingadviseurs FB / opleiding,Ja,"Particuliere (niet-bekostigde) fiscale beroepsopleiding, nu de RB Academy / Federatie Belasting Academie. Citaat: 'de beroepsopleiding van het Register Belastingadviseurs' (https://rb.nl/rb-academy/). De opleiding sluit af met een scriptie als afsluitend onderdeel en de overige modules met een praktijkgericht schriftelijk examen dat door Register Belastingadviseurs zelf wordt afgenomen; bij voldoende resultaat volgt het diploma. Meerjarig traject (>2 weken). Poort 0: opleider beoordeelt scriptie en examens zelf. Particulier: eigen beroepsopleiding van een branchevereniging, niet publiek bekostigd. — [HO/postac-workflow 2026-08-07]",Ja,Niet-bekostigd HO / postacademisch (DUO-register / NVAO),Zelfstandig,Particuliere fiscale opleider
De Jeugdzorgacademie BV,Ja,"Poort 0 (eigen beoordeling): citaat van de leerroute 'De gedragswetenschapper: coaching, consultatie en werkbegeleiding' - 'De cursisten worden beoordeeld door de docent [...] Het schriftelijk reflectie verslag dat deelnemers voorafgaand aan laatste cursusdag mailen alsmede een presentatie van dat verslag voor de groep' (dejeugdzorgacademie.nl/wo-leerroutes/leerroute-gedragswetenschapper-in-de-jeugdzorg-wo/de-gedragswetenschapper-coaching-consultatie-en-werkbegeleiding.html). Poort 0b (duur): 6 studiedagen verspreid over enkele maanden, dus langer dan 2 weken. Toets 3 (particulier): BV, geen publiek bekostigde instelling. Toets 4 (sector): jeugdzorg/gedragswetenschap = sterk-sector (zorg/welzijn), met geschreven reflectieverslagen als toetsvorm. — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,Jeugdzorg/zorg-welzijn
Kennisinstituut Complementaire Zorg,Ja,"Poort 0: eigen jaaropleiding met eindwerk dat wordt beoordeeld als onderdeel van het eigen examen/diplomatraject. Citaat: 'Voor jouw afstuderen schrijf je een eindwerk (scriptie). Niet over oliën want die ken je dan al, maar juist over een casuïstiek in jouw eigen setting' en diplomering vindt plaats 'na examen (incl. casuïstiek eindwerk)' (kicozo.info/jaaropleiding-aromazorg-in-de-zorg/). Eigen examen-/diplomeringsdag op de eigen Wernhout-locatie (kicozo.info/scholingen/professionals/jaaropleiding-aromazorg-in-de-zorg-2024-2025/), geen externe examinering. Poort 0b: jaaropleiding = ruim langer dan 2 weken. Toets 3: CRKBO-geregistreerde particuliere opleider ('Kicozo is a CRKBO recognized educational organization'). Toets 4: gericht op verpleegkundigen/zorgprofessionals binnen zorginstellingen (complementaire zorg in de zorg), met een op de eigen praktijk gebaseerde casuïstiek-scriptie als schriftelijk werkstuk. — [laatste-ronde-workflow 2026-08-07]",Ja,CRKBO/NRTO-geregistreerd,Zelfstandig,Complementaire zorg (zorg/welzijn) [RANDGEVAL - check zelf]
